epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,55287.8,0.85972,0.59001,1.25771,0.90836,0.92504,0.94743,0.73551,1.10646,0.53438,1.53192,0.00744323,0.00744323,0.00744323
137,55843.3,0.85507,0.59143,1.25194,0.89716,0.92559,0.94695,0.72718,1.0966,0.55781,1.51278,0.0074089,0.0074089,0.0074089
138,56149.6,0.85213,0.5811,1.24532,0.87324,0.9313,0.92677,0.70637,1.1202,0.58589,1.54808,0.00737441,0.00737441,0.00737441
139,57169.6,0.85222,0.58437,1.25211,0.87485,0.92126,0.91859,0.70162,1.11881,0.59051,1.55491,0.00733978,0.00733978,0.00733978
140,57452.2,0.83934,0.57743,1.24743,0.89969,0.90953,0.92385,0.70143,1.11539,0.59116,1.53947,0.00730501,0.00730501,0.00730501
141,57741.4,0.84929,0.58776,1.25089,0.8985,0.92764,0.92481,0.70461,1.11501,0.59216,1.53495,0.00727009,0.00727009,0.00727009
142,58357.2,0.86262,0.58278,1.25583,0.88495,0.93493,0.92209,0.70423,1.10612,0.58183,1.53214,0.00723503,0.00723503,0.00723503
143,58665.4,0.85876,0.5886,1.2348,0.90227,0.93831,0.94355,0.72663,1.09362,0.54943,1.50898,0.00719984,0.00719984,0.00719984
144,59241,0.83113,0.5775,1.23103,0.89557,0.92918,0.93833,0.72066,1.09827,0.55781,1.51318,0.0071645,0.0071645,0.0071645
145,59685,0.83397,0.56637,1.22743,0.90277,0.92314,0.9357,0.71931,1.10326,0.55811,1.5214,0.00712904,0.00712904,0.00712904
146,59959.8,0.82737,0.57087,1.23477,0.91437,0.90561,0.93893,0.72515,1.09631,0.55355,1.51592,0.00709344,0.00709344,0.00709344
147,60753.6,0.83036,0.57333,1.23279,0.91713,0.91739,0.9421,0.7283,1.10892,0.53389,1.52646,0.00705772,0.00705772,0.00705772
148,61249.2,0.83865,0.57395,1.2478,0.91654,0.92445,0.9543,0.73942,1.10065,0.52063,1.50851,0.00702187,0.00702187,0.00702187
149,61738.6,0.84617,0.57713,1.23648,0.90649,0.92233,0.94803,0.73363,1.0962,0.54479,1.49954,0.00698589,0.00698589,0.00698589
150,62135.7,0.85833,0.58104,1.24445,0.90769,0.9304,0.94471,0.73448,1.09301,0.54595,1.49619,0.00694979,0.00694979,0.00694979
151,62448.5,0.81723,0.55533,1.21636,0.90757,0.91359,0.93767,0.72299,1.08369,0.55753,1.50011,0.00691357,0.00691357,0.00691357
152,62932.6,0.83631,0.56823,1.23702,0.91314,0.91418,0.93927,0.72229,1.09843,0.54505,1.51566,0.00687723,0.00687723,0.00687723
153,63282,0.81664,0.55846,1.22168,0.91897,0.92103,0.94356,0.72595,1.09692,0.54748,1.50216,0.00684078,0.00684078,0.00684078
154,63557,0.81944,0.56266,1.22249,0.90125,0.94566,0.93923,0.71769,1.10055,0.56022,1.51284,0.00680421,0.00680421,0.00680421
155,63907.3,0.81894,0.5499,1.20928,0.89242,0.92917,0.93474,0.70926,1.10277,0.58548,1.50809,0.00676754,0.00676754,0.00676754
